n;CORIS_Year;Text_genre;Text_genre_specific;Type;Cxn;Lemma_Base;Orthography;Syllables;SyllLength;MorphCat;Pos;Function;SemClass;ScalePoint_Base;Approximation_Output;Approximation_Output2;Occurrence
semi_128;CORIS1980_2000;NARRAT;NARRATVaria;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                             la decomposizione di Antonio : un paio d ' occhi fuori_dalle orbite , un naso turgido , pronto a scoppiare , una bocca < semiaperta > che lasciava scorrere , senza riserve , un liquido giallastro , forse vischioso , misto a bollicine , simili al sapone o                             
semi_143;MONITOR2014_16;NARRAT;NARRAT;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                             potesse fare a un ' azienda di quel tipo . Costantini si rigirà² nel letto . Sua moglie continuava a dormire . La bocca < semiaperta > , i lineamenti rilasciati come una maschera di gomma . Costantini chiuse gli occhi per evitarsi di penetrare                                         
semi_169;CORIS1980_2000;NARRAT;NARRATRacconti;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                               a frangia la fronte , lasciavano spuntare le orecchie appuntite da fauno . Le guance erano paffute , la bocca sempre < semiaperta > per il labbro superiore sollevato dagli incisivi prominenti . In quel momento , sul metro , i due ragazzi si davano la                               
semi_204;CORIS1980_2000;NARRAT;NARRATTrRomanzi;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;predicative_obj;material;mimimum_standard;Attenuation;Attenuation;                        farla uscire dalla sonnolenza della droga , e il capo le si piegà² all ' indietro sul collo privo di forze , aveva gli occhi < semiaperti > rovesciati e un filo di saliva giallastra le scorreva già¹ dalla bocca . Merda , masticà² l ' uomo e il suo primo impulso fu                           
semi_218;CORIS1980_2000;NARRAT;NARRATTrRomanzi;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;predicative;material;mimimum_standard;Attenuation;Attenuation;                              Cousin Samba si piantà² nella tribuna vicino_ai quattro inseparabili Arieti , le gambe fiacche , la bocca scioccamente < semiaperta > e le braccia impacciate . Ndourou - Wembido pronuncià² un discorso con la voce in falsetto , il suo primo discorso . La                               
semi_242;CORIS1980_2000;NARRAT;NARRATTrRomanzi;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                              e il prigioniero avrebbero dovuto percorrere per andare alla stazione . Fino_a quel punto avevo spiato dalla finestra < semiaperta > , e cià² mi consentiva di vedere soltanto un breve tratto della strada . Appoggiai il panino , al quale non avevo ancora                              
semi_247;CORIS1980_2000;NARRAT;NARRATRomanzi;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                               squadrà² bene guardandolo con commiserazione dai piedi alla testa . Carlo rimase sul pianerottolo davanti_all ' uscio < semiaperto > e tutte le parole che si era preparato per salutarla gli si soffocarono in gola , vedendo il suo sguardo freddo e                                    
semi_281;CORIS1980_2000;MISC;MISCRiviste;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                        nella villa di Du Pont con moglie e due bambini ) . Du Pont ( tenuta da lavoro , viso da patrizio , occhi socchiusi , bocca < semiaperta > ) ha l ' aria di uno che ti sta prendendo in giro . La mano che gli regge la testa sembra aver voglia di usare le dita per                           
semi_298;MONITOR2014_16;NARRAT;NARRAT;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                         delle cose e ne liquefa i profili . Ci sono piccole costruzioni simili a garage . Don Pino si dirige verso una saracinesca < semiaperta > . Gli sto accanto e cerco di farmi scudo con la sua figura minuta . Â« Permesso ? Â» Â« Don Pino ! Â» Â« Scusate il ritardo . Â» Â« Quando                  
mezzo_10;MONITOR2014_16;NARRAT;NARRAT;mezzo aperto ;mezzo;aperto;debonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                            . Si arrestà² . Da destra verso sinistra . Il comodino . L ' armadio . Guardà² intorno con aria preoccupata . La finestra < mezza aperta > . Il battito cardiaco accelerà² . Rimani calmo . Non puà² essere saltata giàº dalla finestra . Si sedette sul bordo del letto                           
